tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1589,00:03.6,26:33.0,224,Spruce St & Nassau St,40.71146364,-74.00552427,3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,16214,Subscriber,1980,1
389,00:16.8,06:46.1,293,Lafayette St & E 8 St,40.73020661,-73.99102628,223,W 13 St & 7 Ave,40.73781509,-73.99994661,29994,Subscriber,1991,2
614,00:20.1,10:34.2,379,W 31 St & 7 Ave,40.749156,-73.9916,515,W 43 St & 10 Ave,40.76009437,-73.99461843,39853,Subscriber,1991,1
597,00:24.4,10:22.3,3739,Perry St & Greenwich Ave,40.735918,-74.000939,325,E 19 St & 3 Ave,40.73624527,-73.98473765,42608,Subscriber,1989,1
1920,00:26.1,32:26.3,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3124,46 Ave & 5 St,40.74731,-73.95451,36288,Subscriber,1993,1
2055,00:46.1,35:01.3,471,Grand St & Havemeyer St,40.71286844,-73.95698119,497,E 17 St & Broadway,40.73704984,-73.99009296,31313,Subscriber,1985,1
764,01:04.7,13:49.0,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,3579,Sterling Pl & Bedford Ave,40.672695,-73.954131,31216,Subscriber,1980,2
1719,01:04.9,29:44.0,3809,W 55 St & 6 Ave,40.763189,-73.978434,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,27715,Subscriber,1968,2
441,01:09.3,08:30.9,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,174,E 25 St & 1 Ave,40.7381765,-73.97738662,42015,Subscriber,1970,1
601,01:09.4,11:11.2,406,Hicks St & Montague St,40.69512845,-73.99595065,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,27592,Subscriber,1985,1
427,01:25.6,08:33.4,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,174,E 25 St & 1 Ave,40.7381765,-73.97738662,40839,Subscriber,1968,2
585,01:29.2,11:14.9,302,Avenue D & E 3 St,40.72082834,-73.97793172,531,Forsyth St & Broome St,40.71893904,-73.99266288,40610,Subscriber,1988,1
237,01:33.1,05:30.1,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,28501,Subscriber,1993,1
410,01:34.2,08:24.7,410,Suffolk St & Stanton St,40.72066442,-73.98517977,361,Allen St & Hester St,40.71605866,-73.99190759,40225,Customer,1989,1
1417,01:50.0,25:27.4,297,E 15 St & 3 Ave,40.734232,-73.986923,523,W 38 St & 8 Ave,40.75466591,-73.99138152,36937,Customer,1999,1
388,01:56.2,08:25.1,3309,E 97 St & 3 Ave,40.7859201,-73.94860294,3496,1 Ave & E 110 St,40.7923272,-73.9383,33159,Subscriber,1973,1
157,02:17.7,04:55.5,237,E 11 St & 2 Ave,40.73047309,-73.98672378,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,29915,Subscriber,2000,0
1920,02:21.6,34:22.0,447,8 Ave & W 52 St,40.76370739,-73.9851615,500,Broadway & W 51 St,40.76228826,-73.98336183,39441,Subscriber,1980,1
272,02:40.1,07:12.3,499,Broadway & W 60 St,40.76915505,-73.98191841,3165,Central Park West & W 72 St,40.77579377,-73.97620574,40845,Subscriber,1957,1
343,02:42.6,08:25.9,82,St James Pl & Pearl St,40.71117416,-74.00016545,3435,Grand St & Elizabeth St,40.718822,-73.99596,15674,Subscriber,1992,2
1683,02:47.1,30:50.5,453,W 22 St & 8 Ave,40.74475148,-73.99915362,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,31596,Subscriber,1995,1
286,02:50.4,07:37.3,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3905,4 Ave & E 12 St,40.732647,-73.99011,41196,Subscriber,1996,1
509,02:59.6,11:29.2,3336,E 97 St & Madison Ave,40.787801,-73.953559,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,20374,Subscriber,1968,1
647,03:00.4,13:47.8,223,W 13 St & 7 Ave,40.73781509,-73.99994661,432,E 7 St & Avenue A,40.72621788,-73.98379855,35301,Subscriber,1960,0
175,03:01.2,05:57.0,3156,E 72 St & York Ave,40.76663814,-73.95348296,3725,2 Ave & E 72 St,40.76876203,-73.95840794,34354,Subscriber,1993,1
490,03:08.3,11:18.7,536,1 Ave & E 30 St,40.74144387,-73.97536082,505,6 Ave & W 33 St,40.74901271,-73.98848395,26586,Subscriber,1980,1
702,03:11.9,14:54.6,3523,24 Ave & 29 St,40.7729,-73.916142,3609,Vernon Blvd & 31 Ave,40.7692475,-73.9354504,37664,Subscriber,1983,1
462,03:14.8,10:57.0,3707,Lexington Ave & E 26 St,40.741459,-73.983293,519,Pershing Square North,40.751873,-73.977706,28541,Subscriber,1994,1
195,03:15.7,06:31.2,3641,Broadway & W 25 St,40.74286877,-73.98918629,446,W 24 St & 7 Ave,40.74487634,-73.99529885,27412,Subscriber,1989,1
1339,03:25.5,25:45.5,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,504,1 Ave & E 16 St,40.73221853,-73.98165557,30670,Subscriber,1993,1
419,03:29.5,10:28.5,173,Broadway & W 49 St,40.76068327,-73.98452729,492,W 33 St & 7 Ave,40.75019995,-73.99093085,16460,Subscriber,1980,1
357,03:32.0,09:29.5,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,3789,Fulton St & Irving Pl,40.68186,-73.959432,14965,Subscriber,1987,1
1424,03:33.4,27:17.5,531,Forsyth St & Broome St,40.71893904,-73.99266288,334,W 20 St & 7 Ave,40.74238787,-73.99726235,38351,Subscriber,1994,2
112,03:35.5,05:28.4,119,Park Ave & St Edwards St,40.69608941,-73.97803415,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,31786,Subscriber,1963,1
181,03:44.1,06:45.9,3582,Lincoln Pl & Classon Ave,40.6721683,-73.9609,3562,Classon Ave & St Marks Ave,40.6765198,-73.9596082,16140,Subscriber,1984,1
147,03:50.8,06:18.5,119,Park Ave & St Edwards St,40.69608941,-73.97803415,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,41983,Subscriber,1978,2
233,03:52.9,07:46.7,3177,W 84 St & Broadway,40.7867947,-73.977112,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,29564,Subscriber,1974,1
837,04:01.6,17:58.8,3177,W 84 St & Broadway,40.7867947,-73.977112,3425,2 Ave & E 104 St,40.7892105,-73.94370784,37013,Subscriber,1991,2
611,04:09.8,14:21.5,3618,27 St & Hunter St,40.7485,-73.941275,3618,27 St & Hunter St,40.7485,-73.941275,39808,Subscriber,1978,1
